songId,bar,time
stand-by-me,1,0
stand-by-me,2,2
stand-by-me,3,4
stand-by-me,4,6
stand-by-me,5,8
stand-by-me,6,10
stand-by-me,7,12
stand-by-me,8,14
stand-by-me,9,16
stand-by-me,10,18
stand-by-me,11,20
stand-by-me,12,22
stand-by-me,13,24
stand-by-me,14,26
stand-by-me,15,28
stand-by-me,16,30
stand-by-me,17,32
stand-by-me,18,34
stand-by-me,19,36
stand-by-me,20,38
stand-by-me,21,40
stand-by-me,22,42
stand-by-me,23,44
stand-by-me,24,46
stand-by-me,25,48
stand-by-me,26,50
stand-by-me,27,52
stand-by-me,28,54
stand-by-me,29,56
stand-by-me,30,58
stand-by-me,31,60
stand-by-me,32,62
stand-by-me,33,64
stand-by-me,34,66
stand-by-me,35,68
stand-by-me,36,70
stand-by-me,37,72
stand-by-me,38,74
stand-by-me,39,76
stand-by-me,40,78
stand-by-me,41,80
stand-by-me,42,82
stand-by-me,43,84
stand-by-me,44,86
stand-by-me,45,88
stand-by-me,46,90
stand-by-me,47,92
stand-by-me,48,94
stand-by-me,49,96
stand-by-me,50,98
stand-by-me,51,100
stand-by-me,52,102
stand-by-me,53,104
stand-by-me,54,106
stand-by-me,55,108
stand-by-me,56,110
stand-by-me,57,112
