songId,bar,time
imagine,1,0
imagine,2,3.077
imagine,3,6.154
imagine,4,9.231
imagine,5,12.308
imagine,6,15.385
imagine,7,18.462
imagine,8,21.538
imagine,9,24.615
imagine,10,27.692
imagine,11,30.769
imagine,12,33.846
imagine,13,36.923
imagine,14,40
imagine,15,43.077
imagine,16,46.154
imagine,17,49.231
imagine,18,52.308
imagine,19,55.385
imagine,20,58.462
imagine,21,61.538
imagine,22,64.615
imagine,23,67.692
imagine,24,70.769
imagine,25,73.846
imagine,26,76.923
imagine,27,80
imagine,28,83.077
imagine,29,86.154
imagine,30,89.231
imagine,31,92.308
imagine,32,95.385
imagine,33,98.462
imagine,34,101.538
imagine,35,104.615
imagine,36,107.692
imagine,37,110.769
imagine,38,113.846
imagine,39,116.923
imagine,40,120
imagine,41,123.077
imagine,42,126.154
imagine,43,129.231
imagine,44,132.308
imagine,45,135.385
imagine,46,138.462
imagine,47,141.538
imagine,48,144.615
imagine,49,147.692
imagine,50,150.769
imagine,51,153.846
imagine,52,156.923
imagine,53,160
imagine,54,163.077
imagine,55,166.154
imagine,56,169.231
imagine,57,172.308
imagine,58,175.385
