songId,time,midi,name,duration,velocity
dancing-queen,24.054,57,A3,0.050,0.394
dancing-queen,24.203,57,A3,0.050,0.394
dancing-queen,24.353,57,A3,0.050,0.394
dancing-queen,24.502,57,A3,0.050,0.394
dancing-queen,24.651,57,A3,0.050,0.394
dancing-queen,50.199,61,C#4,0.050,0.394
dancing-queen,50.199,64,E4,0.050,0.394
dancing-queen,50.349,61,C#4,0.050,0.394
dancing-queen,50.349,64,E4,0.050,0.394
dancing-queen,50.498,61,C#4,0.050,0.394
dancing-queen,50.498,64,E4,0.050,0.394
dancing-queen,50.647,61,C#4,0.050,0.394
dancing-queen,50.647,64,E4,0.050,0.394
dancing-queen,50.797,61,C#4,0.050,0.394
dancing-queen,50.797,64,E4,0.050,0.394
dancing-queen,50.946,61,C#4,0.050,0.394
dancing-queen,50.946,64,E4,0.050,0.394
dancing-queen,51.096,61,C#4,0.050,0.394
dancing-queen,51.096,64,E4,0.050,0.394
dancing-queen,51.245,61,C#4,0.050,0.394
dancing-queen,51.245,64,E4,0.050,0.394
dancing-queen,51.394,61,C#4,0.050,0.394
dancing-queen,51.394,64,E4,0.050,0.394
dancing-queen,51.544,61,C#4,0.050,0.394
dancing-queen,51.544,64,E4,0.050,0.394
dancing-queen,51.693,61,C#4,0.050,0.394
dancing-queen,51.693,64,E4,0.050,0.394
dancing-queen,51.843,61,C#4,0.050,0.394
dancing-queen,51.843,64,E4,0.050,0.394
dancing-queen,51.992,61,C#4,0.050,0.394
dancing-queen,51.992,64,E4,0.050,0.394
dancing-queen,52.141,61,C#4,0.050,0.394
dancing-queen,52.141,64,E4,0.050,0.394
dancing-queen,52.291,61,C#4,0.050,0.394
dancing-queen,52.291,64,E4,0.050,0.394
dancing-queen,52.440,61,C#4,0.050,0.394
dancing-queen,52.440,64,E4,0.050,0.394
dancing-queen,52.590,62,D4,0.050,0.394
dancing-queen,52.590,66,F#4,0.050,0.394
dancing-queen,52.739,62,D4,0.050,0.394
dancing-queen,52.739,66,F#4,0.050,0.394
dancing-queen,52.888,62,D4,0.050,0.394
dancing-queen,52.888,66,F#4,0.050,0.394
dancing-queen,53.038,62,D4,0.050,0.394
dancing-queen,53.038,66,F#4,0.050,0.394
dancing-queen,53.187,62,D4,0.050,0.394
dancing-queen,53.187,66,F#4,0.050,0.394
dancing-queen,53.337,62,D4,0.050,0.394
dancing-queen,53.337,66,F#4,0.050,0.394
dancing-queen,53.486,62,D4,0.050,0.394
dancing-queen,53.486,66,F#4,0.050,0.394
dancing-queen,53.635,62,D4,0.050,0.394
dancing-queen,53.635,66,F#4,0.050,0.394
dancing-queen,53.785,62,D4,0.050,0.394
dancing-queen,53.785,66,F#4,0.050,0.394
dancing-queen,53.934,62,D4,0.050,0.394
dancing-queen,53.934,66,F#4,0.050,0.394
dancing-queen,54.084,62,D4,0.050,0.394
dancing-queen,54.084,66,F#4,0.050,0.394
dancing-queen,54.233,62,D4,0.050,0.394
dancing-queen,54.233,66,F#4,0.050,0.394
dancing-queen,54.383,62,D4,0.050,0.394
dancing-queen,54.383,66,F#4,0.050,0.394
dancing-queen,54.532,62,D4,0.050,0.394
dancing-queen,54.532,66,F#4,0.050,0.394
dancing-queen,54.681,62,D4,0.050,0.394
dancing-queen,54.681,66,F#4,0.050,0.394
dancing-queen,54.831,62,D4,0.050,0.394
dancing-queen,54.831,66,F#4,0.050,0.394
dancing-queen,54.980,61,C#4,0.050,0.394
dancing-queen,54.980,64,E4,0.050,0.394
dancing-queen,55.130,61,C#4,0.050,0.394
dancing-queen,55.130,64,E4,0.050,0.394
dancing-queen,55.279,61,C#4,0.050,0.394
dancing-queen,55.279,64,E4,0.050,0.394
dancing-queen,55.428,61,C#4,0.050,0.394
dancing-queen,55.428,64,E4,0.050,0.394
dancing-queen,55.578,61,C#4,0.050,0.394
dancing-queen,55.578,64,E4,0.050,0.394
dancing-queen,55.727,61,C#4,0.050,0.394
dancing-queen,55.727,64,E4,0.050,0.394
dancing-queen,55.877,61,C#4,0.050,0.394
dancing-queen,55.877,64,E4,0.050,0.394
dancing-queen,56.026,61,C#4,0.050,0.394
dancing-queen,56.026,64,E4,0.050,0.394
dancing-queen,56.175,61,C#4,0.050,0.394
dancing-queen,56.175,64,E4,0.050,0.394
dancing-queen,56.325,61,C#4,0.050,0.394
dancing-queen,56.325,64,E4,0.050,0.394
dancing-queen,56.474,61,C#4,0.050,0.394
dancing-queen,56.474,64,E4,0.050,0.394
dancing-queen,56.624,61,C#4,0.050,0.394
dancing-queen,56.624,64,E4,0.050,0.394
dancing-queen,56.773,61,C#4,0.050,0.394
dancing-queen,56.773,64,E4,0.050,0.394
dancing-queen,56.922,61,C#4,0.050,0.394
dancing-queen,56.922,64,E4,0.050,0.394
dancing-queen,57.072,61,C#4,0.050,0.394
dancing-queen,57.072,64,E4,0.050,0.394
dancing-queen,57.221,61,C#4,0.050,0.394
dancing-queen,57.221,64,E4,0.050,0.394
dancing-queen,57.371,61,C#4,0.050,0.394
dancing-queen,57.371,66,F#4,0.050,0.394
dancing-queen,57.520,61,C#4,0.050,0.394
dancing-queen,57.520,66,F#4,0.050,0.394
dancing-queen,57.669,61,C#4,0.050,0.394
dancing-queen,57.669,66,F#4,0.050,0.394
dancing-queen,57.819,61,C#4,0.050,0.394
dancing-queen,57.819,66,F#4,0.050,0.394
dancing-queen,57.968,61,C#4,0.050,0.394
dancing-queen,57.968,66,F#4,0.050,0.394
dancing-queen,58.118,61,C#4,0.050,0.394
dancing-queen,58.118,66,F#4,0.050,0.394
dancing-queen,58.267,61,C#4,0.050,0.394
dancing-queen,58.416,61,C#4,0.050,0.394
dancing-queen,58.416,66,F#4,0.050,0.394
dancing-queen,58.566,61,C#4,0.050,0.394
dancing-queen,58.566,66,F#4,0.050,0.394
dancing-queen,58.715,61,C#4,0.050,0.394
dancing-queen,58.865,61,C#4,0.050,0.394
dancing-queen,59.014,61,C#4,0.050,0.394
dancing-queen,59.014,66,F#4,0.050,0.394
dancing-queen,59.163,61,C#4,0.050,0.394
dancing-queen,59.163,66,F#4,0.050,0.394
dancing-queen,59.313,61,C#4,0.050,0.394
dancing-queen,59.313,66,F#4,0.050,0.394
dancing-queen,59.462,61,C#4,0.050,0.394
dancing-queen,59.462,66,F#4,0.050,0.394
dancing-queen,59.612,61,C#4,0.050,0.394
dancing-queen,59.612,66,F#4,0.050,0.394
dancing-queen,69.323,61,C#4,0.050,0.394
dancing-queen,69.323,64,E4,0.050,0.394
dancing-queen,69.472,61,C#4,0.050,0.394
dancing-queen,69.472,64,E4,0.050,0.394
dancing-queen,69.622,61,C#4,0.050,0.394
dancing-queen,69.622,64,E4,0.050,0.394
dancing-queen,69.771,61,C#4,0.050,0.394
dancing-queen,69.771,64,E4,0.050,0.394
dancing-queen,69.920,61,C#4,0.050,0.394
dancing-queen,69.920,64,E4,0.050,0.394
dancing-queen,70.070,61,C#4,0.050,0.394
dancing-queen,70.070,64,E4,0.050,0.394
dancing-queen,70.219,61,C#4,0.050,0.394
dancing-queen,70.219,64,E4,0.050,0.394
dancing-queen,70.369,61,C#4,0.050,0.394
dancing-queen,70.369,64,E4,0.050,0.394
dancing-queen,70.518,61,C#4,0.050,0.394
dancing-queen,70.518,64,E4,0.050,0.394
dancing-queen,70.667,61,C#4,0.050,0.394
dancing-queen,70.667,64,E4,0.050,0.394
dancing-queen,70.817,61,C#4,0.050,0.394
dancing-queen,70.817,64,E4,0.050,0.394
dancing-queen,70.966,61,C#4,0.050,0.394
dancing-queen,70.966,64,E4,0.050,0.394
dancing-queen,71.116,61,C#4,0.050,0.394
dancing-queen,71.116,64,E4,0.050,0.394
dancing-queen,71.265,61,C#4,0.050,0.394
dancing-queen,71.265,64,E4,0.050,0.394
dancing-queen,71.414,61,C#4,0.050,0.394
dancing-queen,71.414,64,E4,0.050,0.394
dancing-queen,71.564,61,C#4,0.050,0.394
dancing-queen,71.564,64,E4,0.050,0.394
dancing-queen,71.713,62,D4,0.050,0.394
dancing-queen,71.713,66,F#4,0.050,0.394
dancing-queen,71.863,62,D4,0.050,0.394
dancing-queen,71.863,66,F#4,0.050,0.394
dancing-queen,72.012,62,D4,0.050,0.394
dancing-queen,72.012,66,F#4,0.050,0.394
dancing-queen,72.161,62,D4,0.050,0.394
dancing-queen,72.161,66,F#4,0.050,0.394
dancing-queen,72.311,62,D4,0.050,0.394
dancing-queen,72.311,66,F#4,0.050,0.394
dancing-queen,72.460,62,D4,0.050,0.394
dancing-queen,72.460,66,F#4,0.050,0.394
dancing-queen,72.610,62,D4,0.050,0.394
dancing-queen,72.610,66,F#4,0.050,0.394
dancing-queen,72.759,62,D4,0.050,0.394
dancing-queen,72.759,66,F#4,0.050,0.394
dancing-queen,72.908,62,D4,0.050,0.394
dancing-queen,72.908,66,F#4,0.050,0.394
dancing-queen,73.058,62,D4,0.050,0.394
dancing-queen,73.058,66,F#4,0.050,0.394
dancing-queen,73.207,62,D4,0.050,0.394
dancing-queen,73.207,66,F#4,0.050,0.394
dancing-queen,73.357,62,D4,0.050,0.394
dancing-queen,73.357,66,F#4,0.050,0.394
dancing-queen,73.506,62,D4,0.050,0.394
dancing-queen,73.506,66,F#4,0.050,0.394
dancing-queen,73.655,62,D4,0.050,0.394
dancing-queen,73.655,66,F#4,0.050,0.394
dancing-queen,73.805,62,D4,0.050,0.394
dancing-queen,73.805,66,F#4,0.050,0.394
dancing-queen,73.954,62,D4,0.050,0.394
dancing-queen,73.954,66,F#4,0.050,0.394
dancing-queen,74.104,61,C#4,0.050,0.394
dancing-queen,74.104,64,E4,0.050,0.394
dancing-queen,74.253,61,C#4,0.050,0.394
dancing-queen,74.253,64,E4,0.050,0.394
dancing-queen,74.402,61,C#4,0.050,0.394
dancing-queen,74.402,64,E4,0.050,0.394
dancing-queen,74.552,61,C#4,0.050,0.394
dancing-queen,74.552,64,E4,0.050,0.394
dancing-queen,74.701,61,C#4,0.050,0.394
dancing-queen,74.701,64,E4,0.050,0.394
dancing-queen,74.851,61,C#4,0.050,0.394
dancing-queen,74.851,64,E4,0.050,0.394
dancing-queen,75.000,61,C#4,0.050,0.394
dancing-queen,75.000,64,E4,0.050,0.394
dancing-queen,75.149,61,C#4,0.050,0.394
dancing-queen,75.149,64,E4,0.050,0.394
dancing-queen,75.299,61,C#4,0.050,0.394
dancing-queen,75.299,64,E4,0.050,0.394
dancing-queen,75.448,61,C#4,0.050,0.394
dancing-queen,75.448,64,E4,0.050,0.394
dancing-queen,75.598,61,C#4,0.050,0.394
dancing-queen,75.598,64,E4,0.050,0.394
dancing-queen,75.747,61,C#4,0.050,0.394
dancing-queen,75.747,64,E4,0.050,0.394
dancing-queen,75.896,61,C#4,0.050,0.394
dancing-queen,75.896,64,E4,0.050,0.394
dancing-queen,76.046,61,C#4,0.050,0.394
dancing-queen,76.046,64,E4,0.050,0.394
dancing-queen,76.195,61,C#4,0.050,0.394
dancing-queen,76.195,64,E4,0.050,0.394
dancing-queen,76.345,61,C#4,0.050,0.394
dancing-queen,76.345,64,E4,0.050,0.394
dancing-queen,76.494,61,C#4,0.050,0.394
dancing-queen,76.494,66,F#4,0.050,0.394
dancing-queen,76.643,61,C#4,0.050,0.394
dancing-queen,76.643,66,F#4,0.050,0.394
dancing-queen,76.793,61,C#4,0.050,0.394
dancing-queen,76.793,66,F#4,0.050,0.394
dancing-queen,76.942,61,C#4,0.050,0.394
dancing-queen,76.942,66,F#4,0.050,0.394
dancing-queen,77.092,61,C#4,0.050,0.394
dancing-queen,77.092,66,F#4,0.050,0.394
