songId,bar,time
piano-man,1,0
piano-man,2,1.8
piano-man,3,3.6
piano-man,4,5.4
piano-man,5,7.2
piano-man,6,9
piano-man,7,10.8
piano-man,8,12.6
piano-man,9,14.4
piano-man,10,16.2
piano-man,11,18
piano-man,12,19.8
piano-man,13,21.6
piano-man,14,23.4
piano-man,15,25.2
piano-man,16,27
piano-man,17,28.8
piano-man,18,30.6
piano-man,19,32.4
piano-man,20,34.2
piano-man,21,36
piano-man,22,37.8
piano-man,23,39.6
piano-man,24,41.4
piano-man,25,43.2
piano-man,26,45
piano-man,27,46.8
piano-man,28,48.6
piano-man,29,50.4
piano-man,30,52.2
piano-man,31,54
piano-man,32,55.8
piano-man,33,57.6
piano-man,34,59.4
piano-man,35,61.2
piano-man,36,63
piano-man,37,64.8
piano-man,38,66.6
piano-man,39,68.4
piano-man,40,70.2
piano-man,41,72
piano-man,42,73.8
piano-man,43,75.6
piano-man,44,77.4
piano-man,45,79.2
piano-man,46,81
piano-man,47,82.8
piano-man,48,84.6
piano-man,49,86.4
piano-man,50,88.2
piano-man,51,90
piano-man,52,91.8
piano-man,53,93.6
piano-man,54,95.4
piano-man,55,97.2
piano-man,56,99
piano-man,57,100.8
piano-man,58,102.6
piano-man,59,104.4
piano-man,60,106.2
piano-man,61,108
piano-man,62,109.8
piano-man,63,111.6
piano-man,64,113.4
piano-man,65,115.2
piano-man,66,117
piano-man,67,118.8
piano-man,68,120.6
piano-man,69,122.4
piano-man,70,124.2
piano-man,71,126
piano-man,72,127.8
piano-man,73,129.6
piano-man,74,131.4
piano-man,75,133.2
piano-man,76,135
piano-man,77,136.8
piano-man,78,138.6
piano-man,79,140.4
piano-man,80,142.2
piano-man,81,144
piano-man,82,145.8
piano-man,83,147.6
piano-man,84,149.4
piano-man,85,151.2
piano-man,86,153
piano-man,87,154.8
piano-man,88,156.6
piano-man,89,158.4
piano-man,90,160.2
piano-man,91,162
piano-man,92,163.8
piano-man,93,165.6
piano-man,94,167.4
piano-man,95,169.2
